full_date,date,weekday,time,mood,activities,note_title,note
2024-08-28,August 28,Wednesday,1:31 PM,good,"","",""
2024-08-27,August 27,Tuesday,9:10 PM,meh,"","",""
2024-08-27,August 27,Tuesday,10:40 AM,good,"","",""
2024-08-26,August 26,Monday,9:29 PM,good,"","",""
2024-08-26,August 26,Monday,9:03 AM,good,"","",""
2024-08-25,August 25,Sunday,9:27 PM,good,"","",""
2024-08-24,August 24,Saturday,9:49 PM,good,"","",""
2024-08-24,August 24,Saturday,11:20 AM,good,"","",""
2024-08-23,August 23,Friday,9:27 PM,good,"","",""
2024-08-23,August 23,Friday,9:06 AM,good,"","",""
2024-08-22,August 22,Thursday,9:13 PM,meh,"","",""
2024-08-22,August 22,Thursday,12:03 PM,good,"","",""
2024-08-21,August 21,Wednesday,9:22 PM,good,"","",""
2024-08-21,August 21,Wednesday,1:48 PM,good,"","",""
2024-08-20,August 20,Tuesday,9:14 PM,good,"","",""
2024-08-20,August 20,Tuesday,11:32 AM,good,"","",""
2024-08-19,August 19,Monday,9:17 PM,good,"","",""
2024-08-19,August 19,Monday,12:18 PM,good,"","",""
2024-08-18,August 18,Sunday,12:08 PM,good,"","",""
2024-08-17,August 17,Saturday,9:22 PM,good,"","",""
2024-08-17,August 17,Saturday,10:30 AM,good,"","",""
2024-08-16,August 16,Friday,9:15 PM,good,"","",""
2024-08-16,August 16,Friday,12:02 PM,good,"","",""
2024-08-15,August 15,Thursday,9:07 PM,good,"","",""
2024-08-15,August 15,Thursday,12:25 PM,good,"","",""
2024-08-14,August 14,Wednesday,9:18 PM,meh,"","",""
2024-08-14,August 14,Wednesday,1:46 PM,meh,"","",""
2024-08-13,August 13,Tuesday,9:30 PM,good,"","",""
2024-08-13,August 13,Tuesday,11:11 AM,good,"","",""
2024-08-12,August 12,Monday,9:11 PM,good,"","",""
2024-08-12,August 12,Monday,12:44 PM,good,"","",""
2024-08-11,August 11,Sunday,9:04 PM,good,"","",""
2024-08-11,August 11,Sunday,1:00 PM,good,"","",""
2024-08-10,August 10,Saturday,10:23 PM,good,"","",""
2024-08-10,August 10,Saturday,11:53 AM,good,"","",""
2024-08-09,August 9,Friday,11:01 PM,good,"","",""
2024-08-09,August 9,Friday,11:29 AM,good,"","",""
2024-08-08,August 8,Thursday,9:02 PM,meh,"","",""
2024-08-08,August 8,Thursday,3:50 PM,meh,"","",""
2024-08-07,August 7,Wednesday,9:32 PM,good,"","",""
2024-08-07,August 7,Wednesday,11:23 AM,good,"","",""
2024-08-06,August 6,Tuesday,9:08 PM,good,"","",""
2024-08-06,August 6,Tuesday,10:09 AM,good,"","",""
2024-08-05,August 5,Monday,9:03 PM,good,"","",""
2024-08-05,August 5,Monday,12:54 PM,good,"","",""
2024-08-04,August 4,Sunday,9:13 PM,good,"","",""
2024-08-04,August 4,Sunday,9:37 AM,good,"","",""
2024-08-03,August 3,Saturday,10:56 AM,good,"medium sleep","",""
2024-08-02,August 2,Friday,11:18 PM,good,"","",""
2024-08-02,August 2,Friday,11:50 AM,meh,"","",""
2024-08-01,August 1,Thursday,9:26 PM,good,"","",""
2024-07-31,July 31,Wednesday,11:11 PM,good,"","",""
2024-07-31,July 31,Wednesday,1:17 PM,good,"","",""
2024-07-30,July 30,Tuesday,9:26 PM,good,"","",""
2024-07-30,July 30,Tuesday,9:35 AM,good,"","",""
2024-07-29,July 29,Monday,9:13 PM,good,"","",""
2024-07-29,July 29,Monday,11:49 AM,good,"","",""
2024-07-28,July 28,Sunday,9:01 PM,meh,"","",""
2024-07-27,July 27,Saturday,9:01 PM,good,"","",""
2024-07-27,July 27,Saturday,9:02 AM,good,"","",""
2024-07-26,July 26,Friday,9:25 PM,good,"","",""
2024-06-28,June 28,Friday,4:33 PM,rad,"","",""
2024-06-25,June 25,Tuesday,9:42 AM,good,"","",""
2024-06-24,June 24,Monday,1:21 PM,good,"","",""
2024-06-23,June 23,Sunday,10:23 PM,good,"","",""
2024-06-22,June 22,Saturday,9:31 PM,rad,"","","ODESZA CONCERT "
2024-06-21,June 21,Friday,10:00 PM,good,"","",""
2024-06-21,June 21,Friday,11:14 AM,good,"","",""
2024-06-20,June 20,Thursday,9:03 PM,good,"","",""
2024-06-20,June 20,Thursday,12:03 PM,good,"bad sleep","",""
2024-06-19,June 19,Wednesday,10:00 PM,meh,"","",""
2024-06-18,June 18,Tuesday,9:01 PM,good,"","",""
2024-06-17,June 17,Monday,9:02 PM,good,"","",""
2024-06-16,June 16,Sunday,9:32 PM,good,"","",""
2024-06-15,June 15,Saturday,10:04 PM,good,"","",""
2024-06-15,June 15,Saturday,3:01 PM,good,"","",""
2024-06-14,June 14,Friday,9:53 PM,good,"","",""
2024-06-12,June 12,Wednesday,9:33 AM,good,"","",""
2024-06-10,June 10,Monday,9:18 PM,good,"","",""
2024-06-10,June 10,Monday,1:27 PM,good,"","",""
2024-06-01,June 1,Saturday,9:00 PM,good,"","",""
2024-05-27,May 27,Monday,9:00 PM,good,"","",""
2024-05-26,May 26,Sunday,9:47 PM,good,"","",""
2024-05-26,May 26,Sunday,4:08 PM,good,"","",""
2024-05-25,May 25,Saturday,4:25 PM,good,"","",""
2024-05-24,May 24,Friday,11:11 AM,good,"","",""
2024-05-23,May 23,Thursday,9:00 PM,good,"","",""
2024-05-19,May 19,Sunday,9:06 PM,good,"","",""
2024-05-18,May 18,Saturday,5:49 PM,good,"","",""
2024-05-17,May 17,Friday,10:27 PM,meh,"","",""
2024-05-15,May 15,Wednesday,9:01 PM,good,"","",""
2024-05-13,May 13,Monday,9:00 AM,good,"","",""
2024-05-12,May 12,Sunday,10:09 PM,good,"","",""
2024-05-12,May 12,Sunday,1:07 PM,good,"","",""
2024-05-11,May 11,Saturday,11:10 PM,good,"","",""
2024-05-08,May 8,Wednesday,10:48 AM,good,"","",""
2024-05-07,May 7,Tuesday,9:26 PM,meh,"","",""
2024-05-05,May 5,Sunday,9:00 PM,good,"","",""
2024-05-05,May 5,Sunday,9:01 AM,good,"","",""
2024-05-04,May 4,Saturday,9:32 PM,good,"","",""
2024-05-03,May 3,Friday,5:21 PM,good,"","",""
2024-05-02,May 2,Thursday,9:04 PM,good,"","",""
2024-05-02,May 2,Thursday,1:25 PM,good,"","",""
2024-05-01,May 1,Wednesday,4:27 PM,good,"","",""
2024-04-30,April 30,Tuesday,9:03 PM,good,"","",""
2024-04-30,April 30,Tuesday,9:00 AM,good,"","",""
2024-04-29,April 29,Monday,9:00 PM,meh,"","",""
2024-04-29,April 29,Monday,3:31 PM,good,"","",""
2024-04-28,April 28,Sunday,9:13 PM,good,"","",""
2024-04-28,April 28,Sunday,12:06 PM,good,"","",""
2024-04-26,April 26,Friday,9:00 AM,meh,"","",""
2024-04-25,April 25,Thursday,9:01 PM,rad,"","",""
2024-04-25,April 25,Thursday,11:52 AM,good,"","",""
2024-04-22,April 22,Monday,9:35 PM,good,"","",""
2024-04-21,April 21,Sunday,1:32 PM,good,"","",""
2024-04-19,April 19,Friday,9:40 PM,good,"","",""
2024-04-19,April 19,Friday,9:21 AM,good,"","",""
2024-04-17,April 17,Wednesday,9:02 PM,good,"","",""
2024-04-17,April 17,Wednesday,4:22 PM,good,"","",""
2024-04-16,April 16,Tuesday,9:32 PM,good,"","",""
2024-04-13,April 13,Saturday,9:00 PM,good,"","",""
2024-04-13,April 13,Saturday,6:00 PM,good,"","",""
2024-04-12,April 12,Friday,12:55 PM,good,"","",""
2024-04-11,April 11,Thursday,9:14 PM,meh,"","",""
2024-04-11,April 11,Thursday,11:39 AM,good,"","",""
2024-04-10,April 10,Wednesday,10:07 AM,good,"","",""
2024-04-09,April 9,Tuesday,9:24 PM,good,"","",""
2024-04-09,April 9,Tuesday,5:38 PM,good,"","",""
2024-04-08,April 8,Monday,10:00 PM,good,"","",""
2024-04-08,April 8,Monday,1:09 PM,good,"","",""
2024-04-07,April 7,Sunday,1:13 PM,good,"","",""
2024-04-06,April 6,Saturday,2:06 PM,good,"","",""
2024-04-04,April 4,Thursday,2:57 PM,good,"","",""
2024-04-03,April 3,Wednesday,9:22 PM,good,"","",""
2024-04-02,April 2,Tuesday,4:32 PM,meh,"","",""
2024-04-01,April 1,Monday,9:27 PM,meh,"","",""
2024-04-01,April 1,Monday,9:53 AM,meh,"","",""
2024-03-31,March 31,Sunday,10:59 AM,good,"","",""
2024-03-30,March 30,Saturday,12:06 PM,good,"","",""
2024-03-29,March 29,Friday,10:09 PM,meh,"","",""
2024-03-29,March 29,Friday,2:07 PM,meh,"","",""
2024-03-28,March 28,Thursday,11:29 AM,good,"","",""
2024-03-27,March 27,Wednesday,10:31 AM,meh,"","",""
2024-03-25,March 25,Monday,11:35 PM,good,"","",""
2024-03-24,March 24,Sunday,9:36 PM,rad,"","",""
2024-03-24,March 24,Sunday,12:42 PM,good,"","",""
2024-03-23,March 23,Saturday,3:51 PM,good,"","",""
2024-03-22,March 22,Friday,9:00 PM,good,"","",""
2024-03-22,March 22,Friday,2:16 PM,good,"","",""
2024-03-21,March 21,Thursday,11:37 PM,bad,"","",""
2024-03-20,March 20,Wednesday,9:09 PM,good,"","",""
2024-03-19,March 19,Tuesday,9:24 PM,good,"","",""
2024-03-18,March 18,Monday,12:24 PM,good,"","",""
2024-03-17,March 17,Sunday,9:41 PM,good,"","",""
2024-03-16,March 16,Saturday,11:00 PM,good,"","",""
2024-03-16,March 16,Saturday,1:44 PM,good,"","",""
2024-03-15,March 15,Friday,9:32 PM,meh,"","",""
2024-03-13,March 13,Wednesday,3:20 PM,meh,"","",""
2024-03-12,March 12,Tuesday,9:02 PM,good,"","",""
2024-03-11,March 11,Monday,9:08 PM,meh,"","",""
2024-03-11,March 11,Monday,1:45 PM,good,"","",""
2024-03-10,March 10,Sunday,9:00 PM,good,"","",""
2024-03-09,March 9,Saturday,9:05 PM,meh,"","",""
2024-03-08,March 8,Friday,9:01 AM,good,"","",""
2024-03-07,March 7,Thursday,10:17 PM,meh,"","",""
2024-03-07,March 7,Thursday,11:56 AM,good,"","",""
2024-03-06,March 6,Wednesday,9:06 PM,good,"","",""
2024-03-06,March 6,Wednesday,6:26 PM,meh,"bad sleep","",""
2024-03-05,March 5,Tuesday,9:00 PM,good,"good sleep","",""
2024-03-05,March 5,Tuesday,10:59 AM,good,"","",""
2024-03-04,March 4,Monday,12:17 PM,good,"bad sleep","",""
2024-03-03,March 3,Sunday,9:00 PM,good,"","",""
2024-03-02,March 2,Saturday,9:15 AM,good,"","",""
2024-03-01,March 1,Friday,9:00 PM,good,"","",""
2024-03-01,March 1,Friday,9:02 AM,good,"","",""
2024-02-29,February 29,Thursday,2:10 PM,good,"","",""
2024-02-28,February 28,Wednesday,12:25 PM,good,"","",""
2024-02-27,February 27,Tuesday,9:00 AM,good,"","",""
2024-02-26,February 26,Monday,9:05 PM,good,"","",""
2024-02-26,February 26,Monday,5:14 PM,good,"","",""
2024-02-25,February 25,Sunday,9:00 PM,good,"","",""
2024-02-24,February 24,Saturday,5:56 PM,good,"","",""
2024-02-23,February 23,Friday,9:00 PM,good,"","",""
2024-02-23,February 23,Friday,6:24 PM,good,"","",""
2024-02-22,February 22,Thursday,9:00 PM,rad,"","",""
2024-02-22,February 22,Thursday,1:22 PM,good,"","",""
2024-02-21,February 21,Wednesday,9:00 PM,good,"","",""
2024-02-21,February 21,Wednesday,9:00 AM,good,"","",""
2024-02-20,February 20,Tuesday,11:17 AM,good,"","",""
2024-02-19,February 19,Monday,9:00 PM,meh,"","",""
2024-02-19,February 19,Monday,1:59 PM,meh,"","",""
2024-02-18,February 18,Sunday,9:00 PM,meh,"","",""
2024-02-18,February 18,Sunday,9:01 AM,good,"","",""
2024-02-17,February 17,Saturday,9:37 AM,good,"","",""
2024-02-16,February 16,Friday,11:17 AM,good,"","",""
2024-02-15,February 15,Thursday,9:05 PM,good,"","",""
2024-02-15,February 15,Thursday,9:22 AM,meh,"","",""
2024-02-14,February 14,Wednesday,9:12 PM,meh,"","",""
2024-02-13,February 13,Tuesday,9:42 PM,meh,"","",""
2024-02-13,February 13,Tuesday,10:08 AM,good,"","",""
2024-02-12,February 12,Monday,10:54 PM,good,"","",""
2024-02-11,February 11,Sunday,9:06 PM,good,"","",""
2024-02-10,February 10,Saturday,9:24 PM,good,"","",""
2024-02-10,February 10,Saturday,3:41 PM,good,"","",""
2024-02-09,February 9,Friday,9:00 AM,good,"","",""
2024-02-08,February 8,Thursday,10:03 AM,good,"","",""
2024-02-07,February 7,Wednesday,9:13 PM,meh,"","",""
2024-02-07,February 7,Wednesday,11:52 AM,good,"","",""
2024-02-06,February 6,Tuesday,10:40 PM,good,"","",""
2024-02-06,February 6,Tuesday,9:00 AM,good,"","",""
2024-02-05,February 5,Monday,9:07 PM,good,"","",""
2024-02-05,February 5,Monday,1:04 PM,good,"","",""
2024-02-04,February 4,Sunday,9:03 PM,rad,"","",""
2024-02-04,February 4,Sunday,5:54 PM,good,"","",""
2024-01-26,January 26,Friday,9:02 PM,meh,"","",""
2024-01-26,January 26,Friday,9:00 AM,awful,"","",""
2024-01-24,January 24,Wednesday,10:17 AM,good,"","",""
2024-01-22,January 22,Monday,10:13 PM,good,"","",""
2024-01-22,January 22,Monday,9:00 AM,good,"","",""
2024-01-21,January 21,Sunday,9:48 PM,meh,"","",""
2024-01-20,January 20,Saturday,9:00 PM,good,"","",""
2024-01-20,January 20,Saturday,9:08 AM,good,"","",""
2024-01-19,January 19,Friday,10:22 PM,good,"","",""
2024-01-19,January 19,Friday,9:54 AM,good,"","",""
2024-01-18,January 18,Thursday,9:00 PM,meh,"","",""
2024-01-18,January 18,Thursday,10:07 AM,good,"","",""
2024-01-17,January 17,Wednesday,9:04 PM,meh,"","",""
2024-01-17,January 17,Wednesday,9:13 AM,good,"","",""
2024-01-16,January 16,Tuesday,11:26 AM,good,"","",""
2024-01-15,January 15,Monday,9:00 PM,meh,"","",""
2024-01-14,January 14,Sunday,11:31 AM,good,"","",""
2024-01-13,January 13,Saturday,11:27 PM,good,"","",""
2024-01-13,January 13,Saturday,11:17 AM,good,"","",""
2024-01-12,January 12,Friday,10:15 PM,good,"","",""
2024-01-11,January 11,Thursday,9:00 PM,good,"","",""
2024-01-10,January 10,Wednesday,9:04 PM,good,"","",""
2024-01-10,January 10,Wednesday,12:19 PM,good,"","",""
2024-01-09,January 9,Tuesday,9:00 PM,meh,"","",""
